,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2858,4,1.0,1.0,3.0,120.0,29,1125,0
2859,1,2.0,1.0,1.0,55.0,91,1125,0
2860,1,1.0,2.0,2.0,100.0,91,1125,3
2861,6,3.0,3.0,6.0,300.0,91,91,20
2862,2,1.0,1.0,1.0,240.0,92,1125,0
2863,2,1.0,3.0,1.0,199.0,1,31,0
2864,4,1.0,1.0,1.0,150.0,28,1125,0
2865,3,0.0,1.0,1.0,199.0,91,1125,3
2866,3,0.0,1.0,1.0,199.0,91,1125,1
2867,3,1.0,1.0,1.0,199.0,91,1125,1
2868,3,0.0,1.0,1.0,199.0,91,1125,1
2869,3,1.0,1.0,2.0,200.0,91,1125,0
2870,6,2.0,1.0,2.0,167.0,1,1125,23
2871,2,1.0,1.0,1.0,95.0,92,1125,0
2872,2,0.0,1.0,1.0,149.0,2,1125,21
2873,6,3.0,1.0,3.0,299.0,91,1125,16
2874,2,1.0,3.0,1.0,199.0,1,31,0
2875,3,1.0,1.0,1.0,250.0,1,1125,0
2876,4,1.0,1.0,2.0,300.0,1,1125,0
2877,3,1.0,1.0,1.0,250.0,1,1125,0
2878,4,1.0,1.0,2.0,300.0,1,1125,0
2879,3,1.0,1.0,1.0,200.0,1,1125,2
2880,3,0.0,1.0,1.0,199.0,91,1125,2
2881,6,3.0,2.0,4.0,159.0,91,1125,2
2882,3,1.0,3.5,2.0,200.0,2,1125,5
2883,1,1.0,2.0,1.0,150.0,91,1125,2
2884,2,1.0,1.5,1.0,55.0,2,30,21
2885,3,1.0,1.0,2.0,200.0,91,1125,1
2886,3,1.0,1.0,1.0,100.0,2,1000,27
2887,6,3.0,2.0,3.0,299.0,3,1125,1
2888,6,3.0,2.0,4.0,399.0,9,1125,1
2889,3,1.0,1.0,2.0,150.0,91,1125,0
2890,3,0.0,1.0,1.0,199.0,91,1125,2
2891,3,1.0,1.0,1.0,199.0,91,1125,1
2892,3,0.0,1.0,2.0,120.0,1,30,21
2893,2,1.0,1.0,1.0,148.0,92,1125,0
2894,2,1.0,1.0,1.0,48.0,7,1125,10
2895,3,0.0,1.0,2.0,110.0,1,1125,1
2896,2,1.0,1.0,1.0,100.0,1,14,31
2897,3,1.0,1.0,2.0,100.0,1,1125,19
2898,2,1.0,1.0,1.0,170.0,3,90,8
2899,2,1.0,1.0,1.0,60.0,1,60,18
2900,2,1.0,1.0,1.0,229.0,1,28,0
